angry welt
bald assertion
bare outline
black humor
blind alley
blunt honesty
breezy disregard
bright idea
brown threat
bubbly actress
clean conscience
clear explanation
cloudy future
cold reality
dead giveaway
deep understanding
dirty word
dry wit
dumb luck
empty promise
fat chance
fiery temper
filthy mind
fresh thinking
frosty relation
fuzzy logic
greasy smile
green energy
hard truth
heavy tax
honest meal
icy glare
lean budget
mad sprint
muddy thinking
murky past
narrow mind
purple prose
raw emotion
red alert
rocky beginning
rosy outlook
rough draft
sad sack
shady tactics
shaky ceasefire
shallow argument
shiny goal
shrill rhetoric
sick joke
silky voice
slim picking
slimy salesman
smoky alto
smooth operation
soft leadership
steep discount
stony silence
stormy applause
straight answer
sunny disposition
sweet smile
tall tale
tame version
thick accent
thin excuse
tight budget
unruly hair
warm reception
weak password
white anger
wild speculation
windy rhetoric
woolly liberal
young moon
bloody stupidity
cool feature
dark laughter
firm conviction
foggy brain
hairy problem
healthy balance
heavy fighting
hollow mockery
hot topic
juicy scandal
lame excuse
old boy
quiet revolution
rich history
ripe age
rusty brain
sleepy town
small comfort
sour mood
spicy language
stale cliché
strong presence
thirsty sponge
wet dream
