angry protester
bald eagle
big city
blind man
bloody nose
blunt knife
breezy veranda
bright sunlight
broad shoulder
brown rice
bubbly champagne
clean air
cloudy weather
cool air
dead animal
deep sea
dirty diaper
dry skin
dumb student
fat call
fiery crash
filthy garment
firm mattress
foggy night
frosty morning
fuzzy blanket
good idea
greasy burger
green vegetable
hairy armpit
healthy body
heavy load
high altitude
hollow cylinder
honest opinion
hot chocolate
icy road
ill patient
large group
low tree
mad man
old man
purple flower
quiet voice
rich businessman
rocky terrain
shady tree
shallow grave
shiny silver
short walk
shrill voice
sick child
silky satin
slim waist
slimy slug
small town
smoky flavor
smooth surface
soft leather
sour cherry
steep hill
stony ridge
stormy sea
strong bone
sunny day
sweet potato
thirsty camel
tight pant
unruly behavior
warm bath
weak muscle
wet towel
white sand
windy night
woolly mammoth
black dress
clear sky
cold beer
cold weather
empty can
gold coin
hard plastic
huge number
juicy steak
lame beggar
muddy puddle
pure cotton
raw meat
ripe banana
rosy cheek
rough terrain
shaky ladder
sparse vegetation
spicy sausage
stale bread
straight edge
tame reindeer
thick slice
thin layer
young boy
