conversation turn subject
resumption bring relief
economy move direction
service meet expectation
material live dream
unemployment stand *none
action talk *none
statement sit *none
income fall *none
silence speak volume
car decide *none
battery die *none
accident wait *none
Texan break record
temperature break *number
insurance cover care
state cut spending
Hawaii kill  proposal
electronics drive innovation
teenager wear attitude
*pronoun catch flight
envy eat *none
data point pain
advertiser pull ad
*pronoun close deal
police close investigation
bicycle suffer damage
Tori throw tantrum
fortune smile *pronoun
excitement fill street
*pronoun fight hunger
competition drop price
Murkowski push legislation
bolt refuse *none
man lay blame
future hang *none
rumor fly *none
circumstance demand translation
solution stare face
solution marry idea
*pronoun shoot proposal
dread settle *none
association strike fancy
tragedy strike community
marriage survive problem
Bundestag lift ban
congress sleep *none
adventure feed imagination
clump nod *none
opponent attack credibility
midwesterner spread wealth
rumor spread *none
unemployment climb *none
fate step *none
blunder escape notice
court hand victory
overtime burn goodwill
stock jump *none
success ride service
*none shut brain
schedule slip *none
court attach meaning
state lean republican
Bernake lean congress
*pronoun wash sin
tablet steal spotlight
result steal show
spending hurt economy
professional stretch truth
*none knock confidence
car complain *none
*pronoun land internship
*pronoun kick addiction
life rush *none
Romney sweep primary
class slide poverty
Olmert grab opportunity
headline scream *none
battle tear party
cult dig activity
funding dry *none
creativity flow *none
airport swim money
communism collapse *none
century see development
*pronoun walk document
money walk *none
luck love *pronoun
product hit market
change shake confidence
idea travel *none
data beat expectation
truck drink *none
*pronoun press advantage
kindness touch *pronoun
heart cry *none
thriller stick landing
*none blow paycheck
computer slip coma
Apple roll commercial
*none tie destiny
society wake *none
*none clean government
electorate swing *none
depression drag market
speech sink candidacy
framework bury initiative
economy shrug impact
economy sail *none
government dream regulation
pride burst *none
